bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",159,90.62387915,114.8111694,217.1445899,85.07734774,254.7748732,36.43646592,58.12222945,228.559846
"BMR = 10%: Added, BMR: 0.1",160,123.0312547,120.0058352,228.3890073,79.49392923,165.1546595,35.27991154,81.18631264,213.7680288
"BMR = 10%: Added, BMR: 0.1",161,129.4292479,130.9295713,255.7867807,103.910685,189.8820733,27.10808047,94.53114804,235.5040572
"BMR = 10%: Added, BMR: 0.1",162,87.13676275,118.3479972,223.0685045,106.8383699,222.9564843,39.15718118,115.1817199,223.7484156
"BMR = 10%: Added, BMR: 0.1",163,130.9557657,131.7355811,180.9146057,82.52164361,227.4615788,27.85587701,123.7772695,208.3663268
"BMR = 10%: Added, BMR: 0.1",164,106.3224916,138.1896745,226.674506,89.77978833,211.1291531,32.36735988,96.33973029,247.013014
"BMR = 10%: Added, BMR: 0.1",165,106.1389808,140.0796223,186.2652212,89.50832933,213.7750362,29.55873393,63.45723272,232.7777998
"BMR = 10%: Added, BMR: 0.1",166,122.1769014,117.7797618,257.6936466,111.3409622,227.8861032,36.53445406,88.46512324,207.7279279
"BMR = 10%: Added, BMR: 0.1",167,119.1329197,100.4376513,220.5684304,121.6615954,253.1717676,60.18118401,52.60025148,189.4922791
"BMR = 10%: Added, BMR: 0.1",168,121.2548487,138.0494441,226.8418768,82.12949027,213.1252442,48.70752627,82.07931753,190.7299275
"BMR = 10%: Added, BMR: 0.1",169,101.7400647,113.1620053,230.2929159,84.09349215,239.7147377,42.91248198,76.98684791,186.8612696
"BMR = 10%: Added, BMR: 0.1",170,111.6035543,152.9418975,246.0298631,75.46439886,199.7325322,28.71580989,70.79570458,257.1169066
"BMR = 10%: Added, BMR: 0.1",171,98.24299632,151.2723594,200.85409,71.77302158,248.778801,29.37664738,98.29026258,256.5627519
"BMR = 10%: Added, BMR: 0.1",172,112.3098793,140.5551807,229.1823358,77.43504208,218.3013965,28.44756512,89.00024078,215.5491412
