bmr,index,model_average,Logistic,LogLogistic,Probit,QuantalLinear,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",220,31.56358764,19.94383359,81.278776,28.78989403,5.511736039,22.05038335
"BMR = 10%: Added, BMR: 0.1",221,23.11607028,25.93294599,81.278776,34.79106026,7.762785559,35.08782285
"BMR = 10%: Added, BMR: 0.1",222,25.57467991,30.5001157,81.278776,25.62906376,7.556106924,37.25233121
"BMR = 10%: Added, BMR: 0.1",223,18.74011011,34.19902961,101.9317647,30.25993786,6.031911946,25.75529017
"BMR = 10%: Added, BMR: 0.1",224,26.88188858,21.2597547,72.27523035,29.90418675,8.729872996,22.07549598
"BMR = 10%: Added, BMR: 0.1",225,20.509203,22.13241374,69.87777374,30.5359608,7.580705638,55.85959192
"BMR = 10%: Added, BMR: 0.1",226,28.88376364,23.3106568,66.19822378,27.10244028,6.097449656,63.56961749
"BMR = 10%: Added, BMR: 0.1",227,20.4455882,22.53254337,66.19822378,23.15409813,8.113148059,47.6801217
"BMR = 10%: Added, BMR: 0.1",228,26.80694367,21.333469,70.97217448,25.39239089,6.669999961,31.18670695
"BMR = 10%: Added, BMR: 0.1",229,31.85075101,27.04644419,70.97217448,32.09498703,7.540465002,20.79091168
"BMR = 10%: Added, BMR: 0.1",230,22.76049914,23.44442669,70.97217448,35.36821876,7.764781046,8.44975905
"BMR = 10%: Added, BMR: 0.1",231,28.35073735,21.06711234,70.97217448,43.16417456,7.89318277,7.58958513
"BMR = 10%: Added, BMR: 0.1",232,19.10208527,25.48260265,70.97217448,37.801618,7.919167159,34.31467725
"BMR = 10%: Added, BMR: 0.1",233,29.90330347,21.19654735,91.86838782,25.08284772,9.25212246,29.94160519
